"동별(1)",동별(2),동별(3),2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 4/4,2022 4/4,2022 4/4,2022 4/4,2022 4/4,2022 4/4
"동별(1)",동별(2),동별(3),세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자,세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자
"합계",영등포구,신길1동,11271,20163,18802,1361,1.67,3532,11411,20483,19152,1331,1.68,3607
"합계",영등포구,신길3동,7627,17369,16412,957,2.15,3263,7612,17281,16351,930,2.15,3298
"합계",영등포구,신길4동,5738,12995,12294,701,2.14,2448,5798,13016,12304,712,2.12,2468
"합계",영등포구,신길5동,4670,11269,10239,1030,2.19,2101,4665,11212,10230,982,2.19,2134
"합계",영등포구,신길6동,9193,19689,18944,745,2.06,3437,9187,19593,18874,719,2.05,3482
"합계",영등포구,신길7동,7863,19926,19736,190,2.51,2644,7849,19899,19718,181,2.51,2668
"합계",영등포구,대림1동,7015,16544,14160,2384,2.02,3257,7012,16506,14158,2348,2.02,3309
"합계",영등포구,대림2동,6905,17559,11796,5763,1.71,3185,6939,17523,11855,5668,1.71,3194
"합계",영등포구,대림3동,10323,25301,21944,3357,2.13,4726,10311,25205,21878,3327,2.12,4766
"합계",영등포구,영등포본동,10408,22800,21058,1742,2.02,4327,10390,22714,21008,1706,2.02,4390
"합계",영등포구,영등포동,20966,30312,29602,710,1.41,3406,21084,30461,29728,733,1.41,3452
"합계",영등포구,도림동,9527,19685,17716,1969,1.86,3409,9553,19600,17671,1929,1.85,3394
"합계",영등포구,문래동,13121,32558,32349,209,2.47,4817,13118,32540,32331,209,2.46,4844
"합계",동작구,노량진1동,16330,32074,31706,368,1.94,5871,16357,32114,31670,444,1.94,5957
"합계",동작구,노량진2동,6880,11214,10531,683,1.53,2213,6856,11234,10520,714,1.53,2255
"합계",동작구,상도1동,22330,46066,44371,1695,1.99,7250,22244,46166,44206,1960,1.99,7371
"합계",동작구,상도2동,12583,28000,27734,266,2.20,4386,12572,27982,27695,287,2.20,4407
"합계",동작구,상도3동,12174,24614,24263,351,1.99,4575,12123,24456,24094,362,1.99,4621
"합계",동작구,상도4동,14148,28629,28295,334,2.00,5249,14144,28564,28227,337,2.00,5357
"합계",동작구,사당1동,13625,23109,22674,435,1.66,3846,13615,23009,22561,448,1.66,3896
