,공원구분,소재지지번주소,위도,경도,제공기관명
16553,어린이공원, 강서구 내발산,37.551205,126.823201,강서구
16554,어린이공원, 강서구 내발산,37.555429,126.823007,강서구
16728,어린이공원, 강서구 화곡동,37.548687,126.838686,강서구
16729,어린이공원, 강서구 화곡동,37.543234,126.841377,강서구
16730,어린이공원, 강서구 화곡동,37.548372,126.844024,강서구
16731,어린이공원, 강서구 화곡동,37.531816,126.846863,강서구
16732,어린이공원, 강서구 화곡동,37.541419,126.839983,강서구
16733,어린이공원, 강서구 화곡동,37.549726,126.848944,강서구
16734,어린이공원, 강서구 화곡동,37.552035,126.846474,강서구
16735,어린이공원, 강서구 화곡동,37.554707,126.853537,강서구
16736,어린이공원, 강서구 화곡동,37.550667,126.851903,강서구
16737,어린이공원, 강서구 화곡동,37.538026,126.838591,강서구
16738,어린이공원, 강서구 화곡동,37.535153,126.835992,강서구
16739,어린이공원, 강서구 화곡동,37.538048,126.836229,강서구
16740,어린이공원, 강서구 화곡동,37.535784,126.840511,강서구
16741,어린이공원, 강서구 화곡동,37.533399,126.841895,강서구
16742,어린이공원, 강서구 화곡동,37.532081,126.848297,강서구
16743,어린이공원, 강서구 화곡동,37.535964,126.850746,강서구
16744,어린이공원, 강서구 화곡동,37.538002,126.847506,강서구
16745,어린이공원, 강서구 화곡동,37.529462,126.849512,강서구
16746,어린이공원, 강서구 화곡동,37.534837,126.846751,강서구
16747,어린이공원, 강서구 가양동,37.571854,126.844243,강서구
16748,어린이공원, 강서구 가양동,37.568594,126.848864,강서구
16749,어린이공원, 강서구 가양동,37.570095,126.847132,강서구
16750,어린이공원, 강서구 가양동,37.569758,126.844789,강서구
16751,어린이공원, 강서구 가양동,37.565769,126.854721,강서구
16752,어린이공원, 강서구 가양동,37.565086,126.851657,강서구
16753,어린이공원, 강서구 가양동,37.563578,126.854686,강서구
16754,어린이공원, 강서구 가양동,37.562405,126.857527,강서구
16755,어린이공원, 강서구 가양동,37.559504,126.862944,강서구
16756,어린이공원, 강서구 화곡동,37.538536,126.850451,강서구
16757,어린이공원, 강서구 화곡동,37.529643,126.840748,강서구
16758,어린이공원, 강서구 화곡동,37.531101,126.841222,강서구
16759,어린이공원, 강서구 화곡동,37.531491,126.838777,강서구
16760,어린이공원, 강서구 화곡동,37.532101,126.844653,강서구
16761,어린이공원, 강서구 화곡동,37.528231,126.846009,강서구
16762,어린이공원, 강서구 화곡동,37.529554,126.844986,강서구
16763,어린이공원, 강서구 화곡동,37.533313,126.85605,강서구
16764,어린이공원, 강서구 화곡동,37.530115,126.856902,강서구
16765,어린이공원, 강서구 화곡동,37.530115,126.853739,강서구
16766,어린이공원, 강서구 화곡동,37.544468,126.834711,강서구
16767,어린이공원, 강서구 화곡동,37.547649,126.834751,강서구
16768,어린이공원, 강서구 화곡동,37.540958,126.834336,강서구
16769,어린이공원, 강서구 화곡동,37.544871,126.835911,강서구
16770,어린이공원, 강서구 화곡동,37.546917,126.833001,강서구
16771,어린이공원, 강서구 화곡동,37.531104,126.859414,강서구
16772,어린이공원, 강서구 화곡동,37.531163,126.862932,강서구
16773,어린이공원, 강서구 화곡동,37.533937,126.861301,강서구
16774,어린이공원, 강서구 화곡동,37.536695,126.855316,강서구
16775,어린이공원, 강서구 화곡동,37.535302,126.858021,강서구
16776,어린이공원, 강서구 화곡동,37.550169,126.838658,강서구
16783,근린공원, 강서구 마곡동,37.569783,126.823068,강서구
16784,근린공원, 강서구 방화동,37.566183,126.813091,강서구
16785,근린공원, 강서구 공항동,37.556699,126.812659,강서구
16786,어린이공원, 강서구 염창동,37.548414,126.874399,강서구
16787,어린이공원, 강서구 염창동,37.551163,126.869438,강서구
16788,어린이공원, 강서구 염창동,37.551786,126.875286,강서구
16789,어린이공원, 강서구 등촌동,37.559235,126.854759,강서구
16790,어린이공원, 강서구 등촌동,37.55261,126.863328,강서구
16791,어린이공원, 강서구 등촌동,37.556275,126.857379,강서구
16792,어린이공원, 강서구 등촌동,37.555871,126.862861,강서구
16793,어린이공원, 강서구 등촌동,37.546638,126.859908,강서구
16794,어린이공원, 강서구 등촌동,37.560723,126.843248,강서구
16795,어린이공원, 강서구 등촌동,37.561861,126.852004,강서구
16796,어린이공원, 강서구 등촌동,37.559303,126.844996,강서구
16797,어린이공원, 강서구 등촌동,37.562782,126.845988,강서구
16798,어린이공원, 강서구 등촌동,37.559106,126.847497,강서구
16799,어린이공원, 강서구 등촌동,37.560711,126.840279,강서구
16800,어린이공원, 강서구 등촌동,37.563238,126.848535,강서구
16801,어린이공원, 강서구 화곡동,37.543303,126.844116,강서구
16802,어린이공원, 강서구 화곡동,37.541815,126.844354,강서구
16803,어린이공원, 강서구 화곡동,37.539908,126.843928,강서구
